Column1,license_893,location,pmcid,pmid,doi,pubdate,source_893,number,text,software,version,ID,curation_label,mention_counts,software_mention_1540,mapped_to_1540,source_45,platform_1540,package_url_1540,description_1540,homepage_url_1540,license_45,github_repo_1540,exact_match_1540,reference_1540,software_mention_692,mapped_to_692,source_871,package_url_692,description_692,github_repo_692,github_repo_license_692,exact_match_692,software_mention_865,mapped_to_865,source_21,platform_865,package_url_865,description_865,homepage_url_865,license_21,github_repo_865,exact_match_865,software_mention_15,mapped_to_15,source_1031,platform_15,package_url_15,description_15,homepage_url_15,license_1031,github_repo_15,exact_match_15,reference_15,software_mention,mapped_to,source_181,package_url,description,homepage_url,other_urls,github_repo,exact_match,RRID,reference,scicrunch_synonyms,MAIN,QA,QA_retrieval,preprint,software_paper,confidence,programming_language,repository_platform,discuss_in_paper,annotator,comments
13,comm,comm/BMC_Evol_Biol/PMC7041239.nxml,7041239,320936090,10.1186/s12862-020-1577-y,2020,,6,"Boxes represent hierarchical clusters, estimated using the built-in hclust method in corrplot",corrplot,,SM6234,software,2438,corrplot,corrplot,CRAN Index,CRAN,https://cran.r-project.org/web/packages/corrplot/index.html,Visualization of a Correlation Matrix,['https://github.com/taiyun/corrplot'],MIT,https://github.com/taiyun/corrplot,TRUE,"<pre>
  @Manual{corrplot2021,
    title = {R package 'corrplot': Visualization of a Correlation
      Matrix},
    author = {Taiyun Wei and Viliam Simko},
    year = {2021},
    note = {(Version 0.92)},
    url = {https://github.com/taiyun/corrplot},
  }
</pre>",corrplot,corrplot,Github API,https://github.com/taiyun/corrplot,A visual exploratory tool on correlation matrix,https://github.com/taiyun/corrplot,NOASSERTION,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRO,SN,Y,N,N,Y,,,,SD,
14,comm,comm/BMC_Bioinformatics/PMC3040535.nxml,3040535,212109880,10.1186/1471-2105-11-S12-S9,2010,Case study: training an AIDS-specific model using Musite,41,Select the Musite XML file with the disorder scores saved in the last step.,Musite,,SM93554,software,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUB,SC,Y,N,Y,Y,,,,SD,
15,comm,comm/BMC_Bioinformatics/PMC3633056.nxml,3633056,238155030,10.1186/1471-2105-14-S7-S6,2013,GAM-NGS's performances on large datasets,135,"As a demonstration of GAM-NGS's flexibility, consider that GAM-NGS has also been used to obtain an assembly of the 20 Gbp genome of Picea abies, where performing a global alignment is impracticable.",GAM-NGS,,SM93435,software,154,,,,,,,,,,,,GAM-NGS,GAM-NGS,Github API,https://github.com/rvicedomini/GAM-NGS,Genomic Assemblies Merger for NGS,https://github.com/rvicedomini/GAM-NGS,GPL-3.0,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,URL,SC,Y,N,Y,Y,,,,SD,
16,,,,,10.1128/JB.00461-20,2020,,1, The presence of the cluster was investigated using MacSyFinder (,MacSyFinder,,SM162904,software,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUB,SN,Y,N,N,Y,,,,SD,
17,,,,,10.1186/s13742-015-0046-9,2015,Building and filtering blueberry gene models,6," For example, users can download datasets in formats that are amenable to bioinformatic analysis, such as the BAM and bed formats, or instead can simply view a listing of the datasets in IGB and open them there",IGB,,SM77242,software,732,,,,,,,,,,,,IGB,igbot,Github API,https://github.com/ohld/igbot,"?? Free scripts, bots and Python API wrapper. Get free followers with our auto like, auto follow and other scripts!",https://github.com/ohld/igbot,Apache-2.0,FALSE,,,,,,,,,,,,,,,,,,,,,,IGB,IGB,SciCrunch API,https://scicrunch.org/browse/resources/SCR_011792,"An easy-to-use, highly customizable genome browser you can use to visualize and explore genomic data and annotations, including RNA-Seq, ChIP-Seq, tiling array data, and more.",['http://bioviz.org/igb/'],[],[None],TRUE,SCR_011792,"['http://www.ncbi.nlm.nih.gov/pubmed/19654113', '(IGB, RRID:SCR_011792)']","['b-cell-specific glycoprotein b29', 'ig-beta', 'b29', 'immunoglobulin-associated b29 protein', 'b-cell antigen receptor complex-associated protein beta chain', 'cd79b', 'igb']",NAM,SN,Y,N,N,Y,,,,SD,
18,comm,comm/Front_Neurorobot/PMC7783404.nxml,7783404,334147130,10.3389/fnbot.2020.617327,2020,Molecular Docking Screening,5,All involved experiments were implemented on LigandFit module in Discovery Studio Client v17.2.0.16349 (DS),LigandFit,,SM1815,software,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUB,SN,Y,N,N,Y,,,,SD,
19,,,,,10.3389/fncel.2019.00084,2019,Materials and Methods,16,"Data fitting was performed using routines written in OriginPro8 (OriginLab, Co",OriginPro8,,SM6975,software,392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INS,SN,Y,N,N,Y,,,,SD,
20,comm,comm/PLoS_One/PMC4388695.nxml,4388695,258489570,10.1371/journal.pone.0123096,2015,Fluorescence-lifetime imaging microscopy (FLTIM),8,"Fluorescence decay curves were analyzed using a single component, exponential, tail-fitting routine which was performed by the software SymPhoTime, v",SymPhoTime,,SM264413,software,523,,,,,,,,,,,,SymPhoTime,symphotime-java-client,Github API,https://github.com/cmongis/symphotime-java-client,A Java library allowing remote control of the Symphotime software via TCP/IP protocol,https://github.com/cmongis/symphotime-java-client,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INS,SN,Y,N,N,Y,,,,SD,
21,,,,,10.1177/0049124119826147,2021,SIENA,5," Since we never know the optimal specification of SIENA, it is valuable to know how robust its estimates are to misspecification and to identify which of them are particularly consequential",SIENA,,SM30679,software,2060,,,,,,,,,,,,SIENA,siena,Github API,https://github.com/mandubian/siena,Siena is a persitence API for Java inspired on the Google App Engine Python Datastore API,https://github.com/mandubian/siena,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUB,NA,Y,,,Y,,,,SD,SIENA sociological theoretical model
22,non_comm,non_comm/Onco_Targets_Ther/PMC4498723.nxml,4498723,261706960,10.2147/OTT.S73731,2015,Statistical analysis,10,All statistical calculations were performed using SPSS software and GraphPad Prizm 5.0,GraphPad Prizm,5.0,SM4850,software,771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAM,SN,Y,N,N,Y,,,,SD,
23,,,,,10.3390/cancers12071936,2020,4. Materials and Methods,17,KM Plotter: The impact of combined DEK and CD163 mRNA expression for survival outcomes was analyzed using KM Plotter (,KM Plotter,,SM27595,software,2680,,,,,,,,,,,,KM Plotter,Kmisc,Github API,https://github.com/kevinushey/Kmisc,"A collection of functions for common data reshaping operations, as well as functions for table and plot generation for R Markdown documents.",https://github.com/kevinushey/Kmisc,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,URL,SN,Y,N,N,Y,,,,SD,
24,,,,,10.1080/08927022.2017.1303685,2017,Currently available ZrO,7,"At least one of the many-body potentials for zirconia is known, namely the ReaxFF [",ReaxFF,,SM3402,software,3086,,,,,,,,,,,,ReaxFF,ReaxFF,Github API,https://github.com/actvanduin/ReaxFF,Archive for published ReaxFF parameter files,https://github.com/actvanduin/ReaxFF,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAM,NA,Y,,,Y,,,,SD,Quantum chemical field
25,non_comm,non_comm/Nucleic_Acids_Res/PMC2703904.nxml,2703904,194653970,10.1093/nar/gkp410,2009,METHODS,6,Evolutionary rates of individual amino acid positions are estimated by the empirical Bayesian method (26) as implemented in the Rate4Site program (27),Rate4Site,,SM79804,software,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUB,SN,Y,N,N,Y,,,,SD,
26,comm,comm/F1000Res/PMC7111497.nxml,7111497,322697650,10.12688/f1000research.16665.2,2020,,117,Sarek is open source and part of the nf-core community effort which builds well-curated analysis pipelines in the Nextflow pipeline framework.,Nextflow,,SM2343,software,1350,,,,,,,,,,,,Nextflow,nextflow,Github API,https://github.com/nextflow-io/nextflow,A DSL for data-driven computational pipelines,https://github.com/nextflow-io/nextflow,Apache-2.0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUB,SN,Y,N,N,Y,,,,SD,BEST
27,comm,comm/BMC_Syst_Biol/PMC3605242.nxml,3605242,233836100,10.1186/1752-0509-7-12,2013,,37,Ingenuity Pathway Analysis visualization of oncogene interactions,Ingenuity Pathway Analysis,,SM7766,software,13100,,,,,,,,,,,,Ingenuity Pathway Analysis,IPAexplorer,Github API,https://github.com/da-yin/IPAexplorer,exploration and visualization the results from ingenuity pathway analysis,https://github.com/da-yin/IPAexplorer,,FALSE,,,,,,,,,,,,,,,,,,,,,,Ingenuity Pathway Analysis,Ingenuity Pathway Analysis,SciCrunch API,https://scicrunch.org/browse/resources/SCR_008653,"A web-based software application that enables users to analyze, integrate, and understand data derived from gene expression, microRNA, and SNP microarrays, metabolomics, proteomics, and RNA-Seq experiments, and small-scale experiments that generate gene and chemical lists. Users can search for targeted information on genes, proteins, chemicals, and drugs, and build interactive models of experimental systems. IPA allows exploration of molecular, chemical, gene, protein and miRNA interactions, creation of custom molecular pathways, and the ability to view and modify metabolic, signaling, and toxicological canonical pathways. In addition to the networks and pathways that can be created, IPA can provide multiple layering of additional information, such as drugs, disease genes, expression data, cellular functions and processes, or a researchers own genes or chemicals of interest.",['http://www.ingenuity.com/products/pathways_analysis.html'],"['http://www.ingenuity.com/products/ipa,', 'http://www.ingenuity.com/products/ipa/microrna-research']",[None],TRUE,SCR_008653,"[nan, '(Ingenuity Pathway Analysis, RRID:SCR_008653)']",['ingenuity pathway analysis'],URL,SN,Y,N,N,Y,,,,SD,
28,comm,comm/PLoS_One/PMC6541472.nxml,6541472,311418180,10.1371/journal.pone.0217637,2019,The BMI bias analysis method in practice,23,"All calculations were conducted using R (version 3.4.2, ?Short Summer?; R Foundation, Vienna, Austria, http://www.r-project.org), along with external packages, especially the gamlss package (version 5.0) which contains a function to fit LMS curves",gamlss,,SM39590,software,3542,gamlss,gamlss,CRAN Index,CRAN,https://cran.r-project.org/web/packages/gamlss/index.html,Generalised Additive Models for Location Scale and Shape,['https://www.gamlss.com/'],GPL-2,,TRUE,"<pre>
  @Article{,
    title = {Generalized additive models for location, scale and
      shape,(with discussion)},
    journal = {Applied Statistics},
    volume = {54},
    part = {3},
    pages = {507-554},
    year = {2005},
    author = {R. A. Rigby and D. M. Stasinopoulos},
  }
</pre>",gamlss,gamlss,Github API,https://github.com/cran/gamlss,:exclamation:?This?is?a?read-only?mirror?of?the?CRAN?R?package?repository.  gamlss???Generalised?Additive?Models?for?Location?Scale?and?Shape.?Homepage:?https://www.gamlss.com/  ,https://github.com/cran/gamlss,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAM,SN,Y,N,N,Y,,,,SD,
29,comm,comm/Biomolecules/PMC8391349.nxml,8391349,344399120,10.3390/biom11081245,2021,2. File Formats,6,"Finally, as each file format comes with certain structural rules, many format-specific parsers (e.g., R/Bioconductor, Biopython) have been implemented and are currently available to facilitate data manipulation.",Biopython,,SM7852,software,2707,,,,,,,,,,,,Biopython,biopython,Github API,https://github.com/biopython/biopython,Official git repository for Biopython (originally converted from CVS),https://github.com/biopython/biopython,NOASSERTION,FALSE,,,,,,,,,,,,,,,,,,,,,,Biopython,Biopython,SciCrunch API,https://scicrunch.org/browse/resources/SCR_007173,"Biopython is a set of freely available tools for biological computation written in Python by an international team of developers. It is a distributed collaborative effort to develop Python libraries and applications which address the needs of current and future work in bioinformatics. The source code is made available under the Biopython License, which is extremely liberal and compatible with almost every license in the world. It works along with the Open Bioinformatics Foundation, who generously host it''s website, bug tracker, and mailing lists. Sponsor: This resource is supported by the Open Bioinformatics Foundation. Keywords: Tool, Software, Python, Biological, Computation, Bioinformatics,",['http://biopython.org'],[],[None],TRUE,SCR_007173,"[nan, '(Biopython, RRID:SCR_007173)']",['biopython'],NAM,SN,Y,N,N,Y,,,,SD,
30,comm,comm/BMC_Genet/PMC3261104.nxml,3261104,220779270,10.1186/1471-2156-12-98,2011,Construction of candidate gene search spaces,62,We also wished to determine if these genes were represented in Gentrepid by associated pathways and domains.,Gentrepid,,SM108015,software,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUB,SN,Y,N,N,Y,,,,SD,
31,comm,comm/F1000Res/PMC3983936.nxml,3983936,247414400,10.12688/f1000research.3-47.v2,2014,,89,"As we think it will impact not just this component but any other currently in BioJS, we have initiated a discussion on how to improve this aspect in BioJS, but no decision has been made yet",BioJS,,SM79311,software,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUB,SC,Y,N,Y,N,,,,SD,Software paper describes a component of the framework BioJS
32,comm,comm/PLoS_One/PMC4689395.nxml,4689395,267013160,10.1371/journal.pone.0145681,2015,Results,15,"These authors assigned parentage to all of the 758 zygotes in their study using four microsatellite markers, and GERUD 2.0 and COLONY 2.0.2.1 software, which inferred the minimum as well as the most likely number of fathers, respectively",COLONY,2.0.2.1,SM19072,software,1900,,,,,,,,,,,,COLONY,colony,Github API,https://github.com/hughsk/colony,:chart_with_upwards_trend: In-browser network graphs representing the links between your Node.js code and its dependencies.,https://github.com/hughsk/colony,NOASSERTION,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAM,SN,Y,N,N,Y,,,,SD,
33,,,,,10.1111/apa.15108,2019,RESULTS,51, They have said that we used to provide cotrim when conducting checkups of the children using the timer in the past but now we leave the children after using this [CHARM] device,CHARM,,SM14638,software,1845,,,,,,,,,,,,CHARM,charm,Github API,https://github.com/JHUISI/charm,Charm: A Framework for Rapidly Prototyping Cryptosystems,https://github.com/JHUISI/charm,LGPL-3.0,FALSE,,,,,,,,,,,,,,,,,,,,,,CHARM,charm,SciCrunch API,https://scicrunch.org/browse/resources/SCR_012992,Software package that implements analysis tools for DNA methylation data generated using Nimblegen microarrays and the McrBC protocol.,['http://www.bioconductor.org/packages/2.12/bioc/html/charm.html'],['https://bio.tools/charm'],[None],FALSE,SCR_012992,"[nan, '(charm, RRID:SCR_012992)']",['charm'],PRO,NA,Y,,,Y,,,,SD,Respiratory device (hardware)
